id;status;total_price;payment_method;payment_reference;customer_details_id
45;PAID;7.13;IDEAL;jcb;117
46;PAID;6.44;IDEAL;mastercard;585
47;REFUNDED;8.91;IDEAL;jcb;763
48;PAID;2.65;IDEAL;mastercard;288
49;PAID;5.35;IDEAL;china-unionpay;621
50;PENDING;9.60;IDEAL;mastercard;320
51;REFUNDED;4.73;CREDIT_CARD;mastercard;796
52;COMPLETED;5.57;CREDIT_CARD;maestro;809
53;CANCELLED;8.88;IDEAL;jcb;394
54;COMPLETED;2.34;IDEAL;jcb;35
55;REFUNDED;6.09;IDEAL;diners-club-carte-blanche;976
56;PAID;2.12;IDEAL;china-unionpay;768
57;COMPLETED;1.19;IDEAL;americanexpress;842
58;CANCELLED;9.07;CREDIT_CARD;switch;154
59;PENDING;6.99;CREDIT_CARD;china-unionpay;298
60;COMPLETED;1.22;IDEAL;mastercard;519
61;PAID;2.30;CREDIT_CARD;switch;581
62;CANCELLED;8.45;IDEAL;maestro;681
63;REFUNDED;5.18;CREDIT_CARD;laser;693
64;PENDING;9.60;IDEAL;mastercard;51
65;PENDING;3.54;IDEAL;switch;483
66;PAID;9.09;IDEAL;laser;729
67;PAID;2.10;IDEAL;jcb;491
68;PAID;6.29;IDEAL;jcb;711
69;CANCELLED;7.88;CREDIT_CARD;switch;134
70;COMPLETED;3.93;IDEAL;jcb;186
71;COMPLETED;1.78;IDEAL;jcb;7
72;COMPLETED;5.34;IDEAL;mastercard;871
73;PAID;3.49;CREDIT_CARD;jcb;285
74;CANCELLED;6.69;CREDIT_CARD;americanexpress;682
75;PAID;7.22;IDEAL;jcb;567
76;REFUNDED;4.30;CREDIT_CARD;switch;93
77;CANCELLED;5.84;CREDIT_CARD;visa;178
78;CANCELLED;0.30;IDEAL;jcb;522
79;PENDING;5.22;CREDIT_CARD;jcb;42
80;COMPLETED;5.38;IDEAL;jcb;677
81;PAID;7.49;IDEAL;switch;181
82;COMPLETED;0.24;IDEAL;mastercard;498
83;PAID;5.70;CREDIT_CARD;jcb;415
84;PAID;1.81;IDEAL;maestro;326
85;PENDING;2.10;IDEAL;diners-club-enroute;479
86;CANCELLED;4.77;IDEAL;mastercard;902
87;PENDING;7.84;IDEAL;jcb;104
88;REFUNDED;1.55;IDEAL;jcb;349
89;PENDING;9.76;IDEAL;maestro;602
90;PENDING;7.41;IDEAL;jcb;67
91;COMPLETED;7.44;IDEAL;jcb;937
92;PENDING;2.97;IDEAL;jcb;54
93;PENDING;0.39;IDEAL;jcb;923
94;PAID;0.66;CREDIT_CARD;bankcard;789
95;PENDING;8.00;CREDIT_CARD;solo;764
96;CANCELLED;4.87;IDEAL;mastercard;42
97;COMPLETED;4.21;CREDIT_CARD;jcb;17
98;REFUNDED;2.79;CREDIT_CARD;switch;944
99;CANCELLED;0.45;IDEAL;maestro;493
100;COMPLETED;7.41;IDEAL;mastercard;94
101;CANCELLED;7.87;CREDIT_CARD;visa-electron;85
102;REFUNDED;5.22;IDEAL;jcb;890
103;CANCELLED;8.64;IDEAL;jcb;823
104;COMPLETED;3.69;IDEAL;jcb;96
105;PAID;2.55;IDEAL;switch;793
106;CANCELLED;2.62;CREDIT_CARD;diners-club-enroute;181
107;COMPLETED;4.89;IDEAL;jcb;328
108;PAID;2.19;IDEAL;mastercard;998
109;PAID;0.42;IDEAL;mastercard;527
110;PENDING;6.03;IDEAL;solo;416
111;COMPLETED;7.73;CREDIT_CARD;jcb;471
112;COMPLETED;9.30;CREDIT_CARD;diners-club-enroute;505
113;PAID;9.58;IDEAL;switch;450
114;CANCELLED;9.77;IDEAL;mastercard;609
115;PAID;2.95;CREDIT_CARD;switch;463
116;REFUNDED;0.83;CREDIT_CARD;jcb;597
117;PENDING;7.28;IDEAL;jcb;845
118;REFUNDED;7.95;CREDIT_CARD;americanexpress;175
119;PENDING;2.05;IDEAL;jcb;583
120;PENDING;8.13;IDEAL;mastercard;608
121;PAID;3.11;CREDIT_CARD;bankcard;809
122;REFUNDED;9.26;CREDIT_CARD;bankcard;528
123;PAID;3.15;IDEAL;mastercard;451
124;PAID;7.50;CREDIT_CARD;jcb;111
125;CANCELLED;7.71;CREDIT_CARD;jcb;894
126;PENDING;2.80;IDEAL;china-unionpay;431
127;PENDING;3.13;IDEAL;jcb;21
128;REFUNDED;8.83;CREDIT_CARD;laser;644
129;COMPLETED;9.73;CREDIT_CARD;jcb;725
130;REFUNDED;5.68;IDEAL;jcb;737
131;COMPLETED;9.10;IDEAL;china-unionpay;762
132;COMPLETED;5.81;CREDIT_CARD;jcb;195
133;PENDING;2.65;CREDIT_CARD;jcb;359
134;COMPLETED;4.50;IDEAL;diners-club-carte-blanche;726
135;PAID;6.62;CREDIT_CARD;jcb;443
136;COMPLETED;9.81;IDEAL;mastercard;692
137;COMPLETED;5.00;CREDIT_CARD;visa-electron;374
138;PENDING;0.12;IDEAL;jcb;483
139;PENDING;0.84;CREDIT_CARD;jcb;913
140;CANCELLED;1.32;IDEAL;switch;524
141;REFUNDED;0.48;IDEAL;mastercard;382
142;REFUNDED;0.14;CREDIT_CARD;laser;919
143;REFUNDED;0.53;IDEAL;bankcard;136
144;PENDING;9.83;IDEAL;diners-club-enroute;650
145;REFUNDED;9.21;IDEAL;diners-club-carte-blanche;444
146;CANCELLED;3.74;IDEAL;jcb;664
147;PAID;2.53;IDEAL;mastercard;43
148;PENDING;7.01;IDEAL;bankcard;877
149;PENDING;0.73;CREDIT_CARD;jcb;891
150;PENDING;4.96;CREDIT_CARD;jcb;762
151;CANCELLED;1.33;CREDIT_CARD;jcb;323
152;CANCELLED;7.28;CREDIT_CARD;jcb;970
153;CANCELLED;1.85;CREDIT_CARD;china-unionpay;94
154;COMPLETED;3.20;IDEAL;laser;468
155;PAID;6.79;CREDIT_CARD;jcb;34
156;PENDING;4.55;IDEAL;china-unionpay;421
157;CANCELLED;1.14;IDEAL;jcb;728
158;PAID;6.43;CREDIT_CARD;switch;624
159;COMPLETED;9.59;IDEAL;jcb;279
160;PENDING;9.16;CREDIT_CARD;maestro;279
161;PAID;7.44;CREDIT_CARD;jcb;707
162;COMPLETED;3.55;CREDIT_CARD;jcb;704
163;PAID;6.07;IDEAL;jcb;521
164;CANCELLED;7.81;IDEAL;jcb;169
165;COMPLETED;6.08;IDEAL;mastercard;393
166;PENDING;4.92;CREDIT_CARD;jcb;14
167;PAID;1.17;IDEAL;jcb;150
168;PAID;4.27;CREDIT_CARD;bankcard;926
169;REFUNDED;8.34;CREDIT_CARD;jcb;986
170;PAID;3.18;IDEAL;jcb;608
171;REFUNDED;2.13;CREDIT_CARD;china-unionpay;589
172;PAID;0.71;CREDIT_CARD;jcb;454
173;COMPLETED;3.51;IDEAL;jcb;154
174;PENDING;7.42;CREDIT_CARD;maestro;411
175;REFUNDED;0.63;CREDIT_CARD;visa-electron;719
176;COMPLETED;6.01;CREDIT_CARD;jcb;752
177;PAID;5.10;IDEAL;mastercard;212
178;PAID;1.53;IDEAL;jcb;612
179;CANCELLED;3.38;CREDIT_CARD;jcb;207
180;REFUNDED;3.83;CREDIT_CARD;jcb;687
181;REFUNDED;6.10;IDEAL;jcb;684
182;PAID;0.73;IDEAL;jcb;378
183;PAID;3.48;IDEAL;china-unionpay;138
184;REFUNDED;8.41;CREDIT_CARD;jcb;5
185;PENDING;0.62;CREDIT_CARD;diners-club-enroute;742
186;PENDING;8.33;CREDIT_CARD;diners-club-enroute;491
187;PENDING;1.59;IDEAL;visa-electron;314
188;PENDING;2.30;IDEAL;mastercard;478
189;CANCELLED;6.73;IDEAL;jcb;597
190;PAID;8.72;CREDIT_CARD;maestro;912
191;CANCELLED;4.64;IDEAL;maestro;477
192;REFUNDED;0.27;CREDIT_CARD;jcb;848
193;COMPLETED;0.95;CREDIT_CARD;visa-electron;101
194;PENDING;5.38;CREDIT_CARD;switch;275
195;REFUNDED;0.66;IDEAL;diners-club-carte-blanche;213
196;PENDING;4.01;CREDIT_CARD;jcb;587
197;CANCELLED;7.01;IDEAL;jcb;760
198;PENDING;3.19;CREDIT_CARD;maestro;784
199;PAID;9.28;IDEAL;jcb;856
200;CANCELLED;4.39;CREDIT_CARD;jcb;274
201;CANCELLED;7.81;IDEAL;visa-electron;443
202;REFUNDED;5.30;CREDIT_CARD;mastercard;269
203;PENDING;8.09;IDEAL;jcb;241
204;COMPLETED;7.06;IDEAL;jcb;912
205;PENDING;1.75;IDEAL;mastercard;768
206;COMPLETED;3.63;IDEAL;jcb;748
207;REFUNDED;4.66;IDEAL;visa;127
208;CANCELLED;9.55;CREDIT_CARD;visa;106
209;REFUNDED;1.78;CREDIT_CARD;switch;710
210;COMPLETED;6.86;IDEAL;jcb;893
211;REFUNDED;7.69;CREDIT_CARD;jcb;739
212;COMPLETED;1.20;CREDIT_CARD;jcb;646
213;CANCELLED;9.27;IDEAL;jcb;152
214;REFUNDED;8.04;CREDIT_CARD;visa;737
215;COMPLETED;0.48;IDEAL;visa;280
216;REFUNDED;7.72;IDEAL;maestro;970
217;PENDING;1.17;IDEAL;laser;652
218;COMPLETED;8.20;IDEAL;switch;750
219;PENDING;4.29;IDEAL;jcb;183
220;PENDING;6.30;IDEAL;switch;684
221;PENDING;0.20;CREDIT_CARD;diners-club-enroute;605
222;PAID;1.14;CREDIT_CARD;china-unionpay;284
223;PENDING;0.73;CREDIT_CARD;mastercard;32
224;COMPLETED;4.16;IDEAL;jcb;379
225;PAID;1.31;CREDIT_CARD;jcb;608
226;CANCELLED;8.51;IDEAL;diners-club-carte-blanche;482
227;PAID;0.99;CREDIT_CARD;mastercard;461
228;PENDING;1.30;CREDIT_CARD;china-unionpay;634
229;PAID;0.37;CREDIT_CARD;jcb;717
230;PENDING;3.32;CREDIT_CARD;visa-electron;491
231;COMPLETED;5.72;IDEAL;visa-electron;725
232;PAID;1.87;IDEAL;americanexpress;860
233;PAID;3.08;CREDIT_CARD;visa;479
234;CANCELLED;1.91;CREDIT_CARD;visa-electron;535
235;REFUNDED;2.50;CREDIT_CARD;mastercard;860
236;PENDING;6.98;IDEAL;mastercard;398
237;PAID;4.27;CREDIT_CARD;china-unionpay;187
238;PAID;3.87;IDEAL;jcb;698
239;CANCELLED;8.05;CREDIT_CARD;americanexpress;305
240;REFUNDED;5.82;CREDIT_CARD;jcb;50
241;CANCELLED;0.32;CREDIT_CARD;diners-club-carte-blanche;407
242;COMPLETED;0.54;CREDIT_CARD;jcb;492
243;PAID;8.07;CREDIT_CARD;americanexpress;147
244;PAID;2.46;CREDIT_CARD;visa;962
245;CANCELLED;7.90;CREDIT_CARD;mastercard;131
246;COMPLETED;5.72;IDEAL;jcb;724
247;CANCELLED;4.54;CREDIT_CARD;jcb;503
248;PAID;8.52;IDEAL;jcb;787
249;COMPLETED;0.23;CREDIT_CARD;china-unionpay;478
250;COMPLETED;5.90;CREDIT_CARD;jcb;782
251;PAID;5.62;CREDIT_CARD;maestro;926
252;CANCELLED;8.77;CREDIT_CARD;bankcard;395
253;REFUNDED;5.59;IDEAL;americanexpress;832
254;COMPLETED;6.14;CREDIT_CARD;mastercard;448
255;CANCELLED;4.41;CREDIT_CARD;maestro;97
256;CANCELLED;8.77;IDEAL;jcb;330
257;PAID;3.80;CREDIT_CARD;diners-club-carte-blanche;666
258;REFUNDED;9.13;CREDIT_CARD;mastercard;7
259;CANCELLED;3.95;IDEAL;diners-club-enroute;545
260;PAID;4.84;CREDIT_CARD;americanexpress;674
261;REFUNDED;1.40;IDEAL;maestro;373
262;REFUNDED;7.64;IDEAL;maestro;987
263;CANCELLED;2.62;IDEAL;bankcard;852
264;COMPLETED;5.79;CREDIT_CARD;solo;387
265;PAID;5.93;IDEAL;jcb;4
266;PENDING;5.57;CREDIT_CARD;visa;526
267;COMPLETED;4.22;IDEAL;jcb;11
268;COMPLETED;6.13;CREDIT_CARD;instapayment;333
269;PAID;1.15;IDEAL;maestro;930
270;REFUNDED;9.65;CREDIT_CARD;jcb;507
271;PAID;7.70;CREDIT_CARD;mastercard;596
272;COMPLETED;5.69;IDEAL;jcb;50
273;PAID;1.33;CREDIT_CARD;visa-electron;61
274;REFUNDED;0.70;IDEAL;jcb;706
275;PENDING;7.98;IDEAL;jcb;446
276;PENDING;3.94;IDEAL;mastercard;881
277;REFUNDED;6.89;CREDIT_CARD;visa;804
278;PAID;0.64;CREDIT_CARD;jcb;51
279;CANCELLED;1.63;CREDIT_CARD;china-unionpay;274
280;COMPLETED;8.61;IDEAL;jcb;559
281;REFUNDED;0.27;CREDIT_CARD;solo;735
282;REFUNDED;0.61;CREDIT_CARD;jcb;182
283;PENDING;6.57;IDEAL;jcb;354
284;CANCELLED;2.48;CREDIT_CARD;jcb;13
285;REFUNDED;5.79;IDEAL;china-unionpay;428
286;CANCELLED;7.44;IDEAL;jcb;602
287;REFUNDED;2.22;IDEAL;mastercard;966
288;PAID;6.48;IDEAL;instapayment;586
289;COMPLETED;4.73;CREDIT_CARD;visa-electron;651
290;COMPLETED;1.17;CREDIT_CARD;jcb;257
291;PENDING;5.72;CREDIT_CARD;jcb;678
292;COMPLETED;0.90;IDEAL;americanexpress;370
293;PAID;7.03;CREDIT_CARD;solo;523
294;COMPLETED;7.61;IDEAL;visa-electron;913
295;PENDING;6.82;CREDIT_CARD;bankcard;443
296;PENDING;7.87;CREDIT_CARD;switch;637
297;COMPLETED;8.72;CREDIT_CARD;mastercard;721
298;REFUNDED;9.30;IDEAL;jcb;2
299;CANCELLED;0.02;IDEAL;jcb;950
300;REFUNDED;0.32;CREDIT_CARD;china-unionpay;943
301;REFUNDED;6.16;IDEAL;jcb;615
302;PAID;7.46;IDEAL;mastercard;684
303;CANCELLED;9.39;CREDIT_CARD;maestro;831
304;COMPLETED;1.83;CREDIT_CARD;mastercard;956
305;COMPLETED;9.37;CREDIT_CARD;china-unionpay;199
306;REFUNDED;1.99;IDEAL;jcb;747
307;CANCELLED;2.33;CREDIT_CARD;jcb;826
308;PAID;6.34;IDEAL;maestro;433
309;PAID;5.75;CREDIT_CARD;china-unionpay;7
310;REFUNDED;6.01;IDEAL;jcb;587
311;PENDING;5.60;CREDIT_CARD;mastercard;775
312;CANCELLED;2.55;CREDIT_CARD;diners-club-enroute;172
313;PENDING;4.88;IDEAL;jcb;384
314;REFUNDED;2.39;IDEAL;solo;463
315;PENDING;7.71;CREDIT_CARD;bankcard;810
316;PENDING;2.94;CREDIT_CARD;jcb;808
317;COMPLETED;1.72;CREDIT_CARD;jcb;595
318;PENDING;6.54;CREDIT_CARD;mastercard;815
319;PAID;3.94;IDEAL;maestro;666
320;PENDING;1.76;IDEAL;jcb;100
321;COMPLETED;6.31;CREDIT_CARD;diners-club-enroute;319
322;PENDING;0.40;CREDIT_CARD;diners-club-enroute;936
323;CANCELLED;9.84;IDEAL;mastercard;386
324;REFUNDED;3.83;IDEAL;diners-club-enroute;578
325;PAID;3.57;CREDIT_CARD;jcb;547
326;PAID;3.14;CREDIT_CARD;maestro;187
327;REFUNDED;3.77;CREDIT_CARD;jcb;741
328;PAID;2.80;IDEAL;jcb;273
329;PAID;3.07;CREDIT_CARD;mastercard;239
330;REFUNDED;5.46;CREDIT_CARD;jcb;452
331;REFUNDED;9.85;CREDIT_CARD;jcb;755
332;CANCELLED;9.31;IDEAL;diners-club-us-ca;61
333;REFUNDED;0.80;IDEAL;jcb;944
334;REFUNDED;4.53;CREDIT_CARD;diners-club-international;974
335;CANCELLED;9.36;CREDIT_CARD;jcb;440
336;CANCELLED;3.71;IDEAL;jcb;674
337;PENDING;0.30;CREDIT_CARD;visa;650
338;REFUNDED;2.22;IDEAL;jcb;64
339;PAID;7.21;IDEAL;maestro;580
340;PENDING;8.47;IDEAL;solo;601
341;COMPLETED;4.79;CREDIT_CARD;maestro;491
342;PAID;3.28;CREDIT_CARD;jcb;797
343;PAID;8.78;CREDIT_CARD;diners-club-international;304
344;REFUNDED;5.40;CREDIT_CARD;visa-electron;304
345;PAID;6.59;CREDIT_CARD;diners-club-carte-blanche;606
346;PENDING;1.84;CREDIT_CARD;maestro;289
347;PAID;8.53;IDEAL;jcb;988
348;CANCELLED;6.02;IDEAL;diners-club-enroute;749
349;PENDING;1.43;CREDIT_CARD;china-unionpay;898
350;CANCELLED;4.99;CREDIT_CARD;jcb;350
351;CANCELLED;0.46;CREDIT_CARD;jcb;584
352;CANCELLED;8.89;CREDIT_CARD;china-unionpay;666
353;CANCELLED;6.81;CREDIT_CARD;jcb;935
354;CANCELLED;8.06;CREDIT_CARD;jcb;207
355;PENDING;2.77;CREDIT_CARD;bankcard;13
356;REFUNDED;5.07;CREDIT_CARD;visa-electron;657
357;REFUNDED;3.41;CREDIT_CARD;switch;334
358;COMPLETED;8.33;CREDIT_CARD;jcb;261
359;PAID;5.31;IDEAL;switch;580
360;PAID;1.80;CREDIT_CARD;jcb;620
361;PENDING;1.73;CREDIT_CARD;jcb;590
362;PAID;4.66;CREDIT_CARD;jcb;856
363;REFUNDED;5.63;IDEAL;maestro;661
364;PAID;6.60;CREDIT_CARD;jcb;516
365;PENDING;3.88;CREDIT_CARD;jcb;603
366;PENDING;7.96;IDEAL;visa;202
367;COMPLETED;1.33;IDEAL;jcb;803
368;REFUNDED;1.92;CREDIT_CARD;china-unionpay;625
369;PENDING;4.16;IDEAL;jcb;88
370;PENDING;2.24;CREDIT_CARD;jcb;815
371;CANCELLED;3.35;IDEAL;jcb;67
372;PENDING;2.58;IDEAL;mastercard;317
373;PAID;7.71;IDEAL;solo;667
374;PENDING;4.53;CREDIT_CARD;diners-club-enroute;565
375;REFUNDED;3.30;CREDIT_CARD;bankcard;194
376;PENDING;8.45;CREDIT_CARD;mastercard;552
377;PENDING;3.87;IDEAL;jcb;80
378;CANCELLED;2.88;IDEAL;mastercard;940
379;PENDING;4.12;IDEAL;jcb;836
380;COMPLETED;7.59;CREDIT_CARD;jcb;882
381;COMPLETED;9.57;IDEAL;visa-electron;795
382;PAID;6.73;CREDIT_CARD;visa;961
383;COMPLETED;0.41;IDEAL;jcb;800
384;PENDING;4.90;CREDIT_CARD;jcb;12
385;PENDING;5.98;CREDIT_CARD;maestro;820
386;CANCELLED;5.39;CREDIT_CARD;americanexpress;982
387;PAID;2.27;CREDIT_CARD;laser;239
388;REFUNDED;3.26;CREDIT_CARD;instapayment;903
389;CANCELLED;0.65;IDEAL;americanexpress;666
390;PAID;5.57;CREDIT_CARD;diners-club-carte-blanche;345
391;REFUNDED;4.17;CREDIT_CARD;jcb;667
392;PENDING;0.06;IDEAL;maestro;489
393;PENDING;6.30;CREDIT_CARD;jcb;491
394;COMPLETED;7.01;CREDIT_CARD;jcb;107
395;COMPLETED;3.80;CREDIT_CARD;mastercard;340
396;CANCELLED;8.53;IDEAL;bankcard;314
397;COMPLETED;7.35;CREDIT_CARD;switch;294
398;REFUNDED;0.52;CREDIT_CARD;switch;396
399;CANCELLED;5.87;IDEAL;jcb;441
400;CANCELLED;2.27;IDEAL;diners-club-us-ca;769
401;COMPLETED;4.29;CREDIT_CARD;mastercard;206
402;PAID;0.66;IDEAL;jcb;143
403;REFUNDED;0.43;CREDIT_CARD;diners-club-enroute;518
404;REFUNDED;2.26;CREDIT_CARD;jcb;152
405;COMPLETED;5.50;IDEAL;jcb;572
406;COMPLETED;5.21;CREDIT_CARD;jcb;831
407;REFUNDED;4.58;IDEAL;visa;296
408;PENDING;4.28;CREDIT_CARD;jcb;535
409;COMPLETED;0.75;CREDIT_CARD;jcb;721
410;CANCELLED;4.17;CREDIT_CARD;americanexpress;892
411;COMPLETED;6.58;IDEAL;visa-electron;665
412;PENDING;0.47;IDEAL;jcb;74
413;PAID;7.68;IDEAL;solo;320
414;CANCELLED;6.61;IDEAL;jcb;957
415;COMPLETED;5.47;CREDIT_CARD;jcb;358
416;CANCELLED;6.22;IDEAL;jcb;877
417;REFUNDED;4.13;CREDIT_CARD;bankcard;580
418;PENDING;5.09;IDEAL;switch;832
419;REFUNDED;2.68;IDEAL;switch;101
420;PENDING;8.81;CREDIT_CARD;solo;378
421;PENDING;1.54;CREDIT_CARD;switch;145
422;COMPLETED;3.28;IDEAL;jcb;484
423;COMPLETED;7.25;CREDIT_CARD;diners-club-enroute;559
424;PAID;7.75;CREDIT_CARD;diners-club-carte-blanche;734
425;PAID;0.71;IDEAL;maestro;25
426;COMPLETED;1.11;CREDIT_CARD;jcb;600
427;PAID;9.29;CREDIT_CARD;jcb;67
428;PAID;2.29;IDEAL;mastercard;17
429;COMPLETED;1.60;IDEAL;diners-club-enroute;1000
430;REFUNDED;7.57;IDEAL;mastercard;621
431;PENDING;0.75;CREDIT_CARD;diners-club-enroute;218
432;COMPLETED;1.85;IDEAL;jcb;930
433;CANCELLED;1.60;CREDIT_CARD;jcb;49
434;COMPLETED;8.87;CREDIT_CARD;diners-club-enroute;134
435;CANCELLED;7.24;CREDIT_CARD;bankcard;580
436;COMPLETED;6.38;IDEAL;visa-electron;624
437;REFUNDED;2.87;CREDIT_CARD;jcb;854
438;CANCELLED;2.53;CREDIT_CARD;jcb;159
439;PAID;1.19;CREDIT_CARD;laser;656
440;CANCELLED;2.08;CREDIT_CARD;jcb;998
441;COMPLETED;2.40;CREDIT_CARD;jcb;683
442;PENDING;7.82;CREDIT_CARD;switch;527
443;REFUNDED;5.36;IDEAL;switch;667
444;CANCELLED;4.97;IDEAL;china-unionpay;761
445;REFUNDED;6.61;IDEAL;jcb;621
446;REFUNDED;9.15;CREDIT_CARD;diners-club-enroute;856
447;PENDING;9.86;CREDIT_CARD;mastercard;767
448;REFUNDED;7.57;IDEAL;visa-electron;437
449;PENDING;0.24;IDEAL;visa;7
450;COMPLETED;6.75;CREDIT_CARD;jcb;593
451;REFUNDED;9.92;CREDIT_CARD;jcb;919
452;REFUNDED;2.14;CREDIT_CARD;bankcard;41
453;PENDING;2.41;CREDIT_CARD;maestro;485
454;PAID;3.21;IDEAL;jcb;395
455;REFUNDED;4.63;IDEAL;switch;690
456;CANCELLED;1.27;CREDIT_CARD;jcb;756
457;COMPLETED;4.60;CREDIT_CARD;jcb;82
458;CANCELLED;4.12;CREDIT_CARD;jcb;957
459;REFUNDED;7.34;IDEAL;switch;453
460;COMPLETED;8.24;IDEAL;switch;193
461;CANCELLED;2.78;IDEAL;mastercard;466
462;REFUNDED;3.27;CREDIT_CARD;diners-club-carte-blanche;152
463;PAID;1.30;IDEAL;jcb;583
464;PAID;1.30;IDEAL;mastercard;654
465;REFUNDED;8.35;CREDIT_CARD;jcb;520
466;PENDING;2.53;IDEAL;jcb;567
467;PENDING;9.60;IDEAL;jcb;351
468;CANCELLED;2.43;CREDIT_CARD;jcb;854
469;CANCELLED;9.06;IDEAL;americanexpress;180
470;COMPLETED;6.86;IDEAL;visa-electron;990
471;PAID;9.14;CREDIT_CARD;jcb;234
472;REFUNDED;4.52;CREDIT_CARD;maestro;757
473;REFUNDED;3.10;IDEAL;jcb;766
474;PENDING;2.94;CREDIT_CARD;jcb;462
475;PAID;2.73;IDEAL;jcb;566
476;PAID;0.80;CREDIT_CARD;diners-club-enroute;702
477;PAID;6.64;IDEAL;instapayment;925
478;CANCELLED;0.60;IDEAL;maestro;899
479;REFUNDED;0.03;IDEAL;visa-electron;556
480;REFUNDED;7.33;IDEAL;jcb;657
481;PAID;7.78;IDEAL;laser;919
482;COMPLETED;3.56;CREDIT_CARD;jcb;236
483;COMPLETED;8.64;IDEAL;jcb;35
484;REFUNDED;4.42;IDEAL;jcb;485
485;COMPLETED;2.10;IDEAL;jcb;883
486;REFUNDED;2.05;IDEAL;diners-club-enroute;223
487;COMPLETED;6.22;IDEAL;mastercard;30
488;PENDING;4.95;IDEAL;visa-electron;500
489;COMPLETED;1.01;CREDIT_CARD;mastercard;490
490;COMPLETED;3.21;IDEAL;jcb;340
491;CANCELLED;8.95;CREDIT_CARD;jcb;853
492;PAID;1.51;IDEAL;americanexpress;8
493;COMPLETED;9.31;IDEAL;jcb;599
494;CANCELLED;9.95;IDEAL;jcb;706
495;COMPLETED;2.55;CREDIT_CARD;jcb;715
496;PENDING;8.27;CREDIT_CARD;jcb;763
497;COMPLETED;6.82;CREDIT_CARD;mastercard;374
498;COMPLETED;0.55;CREDIT_CARD;maestro;57
499;REFUNDED;5.47;CREDIT_CARD;maestro;46
500;CANCELLED;7.17;IDEAL;diners-club-carte-blanche;869
501;COMPLETED;6.34;CREDIT_CARD;solo;123
502;PAID;3.90;IDEAL;diners-club-carte-blanche;234
503;REFUNDED;8.78;CREDIT_CARD;maestro;268
504;COMPLETED;0.51;IDEAL;maestro;103
505;PENDING;9.51;CREDIT_CARD;visa-electron;511
506;COMPLETED;0.42;CREDIT_CARD;jcb;140
507;REFUNDED;9.68;IDEAL;jcb;842
508;PENDING;9.20;CREDIT_CARD;maestro;587
509;COMPLETED;6.96;CREDIT_CARD;jcb;894
510;PAID;6.37;IDEAL;visa-electron;138
511;CANCELLED;7.89;CREDIT_CARD;mastercard;134
512;REFUNDED;3.46;IDEAL;jcb;690
513;CANCELLED;1.05;IDEAL;jcb;38
514;COMPLETED;2.34;IDEAL;jcb;455
515;CANCELLED;0.19;IDEAL;jcb;350
516;CANCELLED;9.80;IDEAL;diners-club-enroute;370
517;PAID;0.25;IDEAL;mastercard;208
518;PAID;1.20;IDEAL;jcb;823
519;COMPLETED;6.20;CREDIT_CARD;jcb;139
