id;quantity;total_price;product_id;cart_id
224;10620.97;5.10;3623;8363
225;3195.3;0.65;3441;5332
226;5277.55;7.92;9264;8232
227;10094.1;7.19;5266;3149
228;2984.49;2.76;13580;6203
229;3233.05;3.81;12321;4133
230;3919.28;5.26;7744;11655
231;9259.46;6.58;18632;11849
232;1314.8;1.17;3254;5186
233;97.56;2.52;18178;10256
234;5443.57;1.44;18585;8960
235;9092.11;4.51;11476;4935
236;2332.14;2.43;1530;8539
237;9477.61;5.07;5404;1299
238;9404.11;8.30;9643;5835
239;6571.76;6.95;474;2701
240;7607.47;0.08;13991;10161
241;1567.19;3.10;19293;8425
242;10635.75;9.12;15339;361
243;5949.71;3.34;4464;6531
244;4799.6;7.55;8384;6778
245;10711.22;0.93;17700;10130
246;4110.35;8.83;19506;1720
247;1989.89;2.87;10648;10937
248;11424.99;5.50;11917;5678
249;3009.63;1.30;19642;6360
250;10845.56;6.00;10932;8876
251;5315.87;8.57;15660;11273
252;6005.97;8.43;10552;3429
253;2319.73;7.92;13051;6286
254;9787.56;1.99;8430;11667
255;7155.44;1.08;3406;11922
256;7104.73;7.88;4368;11597
257;9053.45;2.42;5752;1593
258;11442.68;8.93;7663;4203
259;2412.74;1.68;6180;8698
260;9821.94;8.85;4073;312
261;11010.94;3.85;15530;5794
262;6296.86;6.82;10929;10024
263;3156.94;5.68;15945;5955
264;11259.31;1.05;10667;10868
265;9074.77;7.02;15454;9877
266;6374.51;2.82;2200;3000
267;11749.25;1.80;3544;2225
268;7710.84;2.83;10452;5452
269;3630.57;6.32;19385;6911
270;9723.21;5.21;14145;6198
271;11211.53;0.40;11505;9516
272;7932.23;0.79;11831;11151
273;10100.2;1.16;11001;10751
274;5653.21;8.34;5690;11341
275;5456.68;0.72;4200;3402
276;1504.77;0.68;13638;6435
277;226.82;8.60;2481;5350
278;506.45;4.98;19026;7824
279;11472.44;0.32;6049;7950
280;2924.84;4.48;2944;7239
281;10791.24;5.08;12507;7359
282;9692.34;2.61;14165;4297
283;10311.65;8.13;11204;8127
284;7477.96;2.74;2811;159
285;6891.71;7.38;1303;973
286;7338.39;9.88;18493;10678
287;7125.17;3.25;4308;1255
288;11490.96;8.59;14801;6944
289;6267.02;9.95;13432;6756
290;11382.13;7.07;6704;9363
291;2439.87;7.08;2714;4740
292;3807.41;9.51;14048;7241
293;7600.77;3.79;13883;7500
294;7623.37;6.64;5337;6766
295;10822.61;2.99;12097;11555
296;1313.93;5.99;18341;11737
297;6145.48;7.34;7768;1766
298;7964.27;3.00;2438;11953
299;9685.9;4.93;12479;3542
300;11435.01;4.53;11239;6222
301;9367.53;5.96;408;8688
302;6843.71;4.35;8466;7444
303;1260.19;0.57;15562;8347
304;6037.62;4.49;6782;7875
305;9100.81;4.29;7849;8220
306;10712.04;8.01;12600;9551
307;9897.79;3.93;7819;7390
308;5901.86;2.34;12837;1943
309;7642.44;5.66;19239;5513
310;6784.89;1.02;12601;6213
311;8185.52;7.22;16908;1721
312;8317.47;9.99;15340;11359
313;3698.86;0.12;19571;6479
314;3232.5;4.92;19939;9807
315;10324.71;3.18;16651;9483
316;4895.13;9.53;949;273
317;6044.74;1.08;11291;4092
318;10336.03;0.19;7215;9204
319;11410.53;6.92;6630;10180
320;9705.03;0.05;4339;10434
321;5961.0;3.02;15020;930
322;5640.43;2.44;1043;7561
323;11023.18;5.12;2047;9530
324;1144.58;1.68;11206;3123
325;11372.05;7.26;2350;48
326;8562.15;1.04;10087;8343
327;11585.9;4.88;2251;7768
328;3978.14;7.40;6015;2596
329;8898.35;3.27;2101;5737
330;4534.98;2.08;19351;8070
331;5941.11;4.81;2386;8518
332;268.17;5.59;2904;6267
333;4693.01;0.84;9216;2557
334;6837.19;8.52;297;5198
335;7578.29;7.27;1148;5038
336;6410.86;2.61;9692;7378
337;1710.89;9.40;5873;4696
338;6425.39;1.01;8643;3151
339;6255.5;4.37;1624;1756
340;1006.6;6.62;14224;10175
341;11033.21;8.50;12765;1369
342;9089.38;5.14;3917;7468
343;947.97;7.17;47;11419
344;10837.39;3.76;3354;9648
345;849.12;5.94;4979;2852
346;77.56;2.48;14071;2320
347;3570.33;3.71;19063;1295
348;11341.28;5.43;12871;7374
349;9012.88;3.68;5842;11469
350;1871.71;2.08;12554;5776
351;6349.82;3.48;3145;7263
352;9297.79;3.65;2609;3074
353;7362.14;4.37;17821;2077
354;11753.44;4.66;6561;2811
355;11499.58;5.36;12155;1590
356;7443.49;4.67;3700;4251
357;4130.98;8.59;9314;8758
358;10577.52;0.52;7864;8621
359;493.44;1.75;13069;798
360;9365.67;0.57;7949;9970
361;8617.41;6.55;17513;7331
362;5065.62;7.96;4720;9773
363;986.48;1.67;7758;11961
364;4535.72;5.27;5977;5855
365;3430.42;5.98;8355;570
366;9884.01;2.15;24;9946
367;6498.31;2.41;1916;4097
368;9118.33;3.29;12207;6744
369;4656.16;6.15;10196;7932
370;4972.28;8.56;6020;8106
371;3302.7;2.60;9503;10830
372;2168.69;7.08;16808;7043
373;413.46;8.09;10354;3997
374;2116.44;8.71;10288;5226
375;6773.66;6.87;5332;4458
376;6001.55;3.01;10128;8124
377;696.14;6.57;16741;2834
378;9534.24;6.18;15971;689
379;8749.2;3.72;4205;6349
380;1669.45;9.85;5718;2650
381;6426.45;6.56;3666;5529
382;2664.35;1.99;13308;118
383;10473.2;7.00;11086;395
384;11532.2;9.90;7384;1565
385;119.54;6.20;12497;7797
386;11352.16;6.25;2476;5117
387;9223.53;0.74;13747;9059
388;8791.45;0.08;6202;8970
389;3297.41;1.26;6025;6238
390;6081.39;5.73;17997;6625
391;1551.28;2.94;10988;4060
392;9359.6;7.82;14159;1889
393;4222.04;0.93;15166;6015
394;5359.11;4.79;3435;11802
395;7281.92;1.07;4925;193
396;10675.32;1.43;17840;9793
397;970.95;5.73;3538;2144
398;2378.83;2.27;5705;7760
399;1146.23;9.75;12313;3046
400;4675.09;8.65;16630;4594
401;5781.06;7.93;8964;8736
402;3370.27;9.84;7748;6009
403;7212.97;5.66;14517;6012
404;3018.34;3.48;16349;362
405;8403.45;5.04;4131;1380
406;2099.61;7.33;16660;2219
407;7665.58;1.61;10394;4038
408;10890.3;5.10;1097;11670
409;6751.42;6.05;11333;4011
410;8093.94;6.57;8543;11881
411;4402.2;2.76;885;2917
412;6837.01;4.65;14058;8004
413;3039.6;1.12;11406;1323
414;11311.66;2.80;15618;2167
415;9503.81;4.85;10493;4454
416;3840.13;5.47;2626;179
417;7088.67;2.75;16102;10739
418;11804.17;2.84;164;274
419;4152.36;9.12;16553;4819
420;198.1;2.80;9014;3890
421;5428.25;8.90;19805;8137
422;4123.05;6.45;7561;1133
423;2036.9;2.12;19090;3361
424;10441.55;2.44;1974;7248
425;10178.72;5.72;4389;10470
426;11268.82;0.79;4616;1320
427;10069.17;3.29;17540;1408
428;1106.64;2.73;6627;7176
429;726.32;3.87;12704;5036
430;4814.53;8.55;15734;8636
431;4533.09;1.62;15554;7136
432;4243.56;6.74;10208;11754
433;6763.98;3.11;13883;2375
434;2415.85;8.60;17220;8155
435;1882.71;1.39;9588;4886
436;9355.65;8.01;11002;1205
437;5049.25;3.60;10959;9713
438;6175.06;5.52;13015;3162
439;9589.75;2.21;13910;6537
440;1733.28;7.70;4374;1773
441;4941.59;1.01;3989;2734
442;10591.31;6.53;887;8599
443;5359.49;9.64;16351;2112
444;10459.86;7.66;1228;8540
445;1109.43;3.09;1937;5284
446;6877.5;2.21;2829;6550
447;529.57;7.00;6546;10946
448;981.39;0.77;11001;7209
449;10563.1;9.93;10939;11510
450;10594.11;5.96;12052;8951
451;3420.38;0.25;11828;8713
452;447.65;6.30;508;450
453;10447.85;6.85;16279;8161
454;584.09;0.58;16038;11983
455;1823.61;2.34;6480;9233
456;2104.19;1.26;15817;11323
457;6302.65;4.16;5741;5962
458;1991.41;9.85;8410;6250
459;5482.92;4.62;7965;2371
460;5000.42;0.57;16418;9888
461;3549.07;4.96;17383;8030
462;4978.64;4.92;18314;10435
463;11865.28;2.71;9769;3060
464;5929.41;4.14;19439;2060
465;10684.66;0.17;7338;8978
466;6702.03;8.64;17539;7806
467;2434.94;1.56;14595;2292
468;9948.2;5.63;1277;1301
469;10598.15;8.61;13100;3375
470;1273.16;0.24;12792;5142
471;4985.23;9.02;9876;409
472;530.51;7.76;75;1410
473;9413.41;0.28;18292;2645
474;9797.62;3.98;6302;11056
475;9464.02;7.61;5145;5577
476;6488.84;3.92;8246;6938
477;721.36;1.78;17054;3091
478;1621.31;0.42;10991;9381
479;9090.24;7.80;1515;4136
480;932.78;8.84;6715;7500
481;5096.96;3.86;5109;11834
482;2450.56;7.38;17840;2859
483;10488.12;5.79;7319;9046
484;11024.86;6.78;11951;766
485;8753.35;0.90;7793;11915
486;3975.26;7.15;3474;1248
487;4608.73;1.96;13452;3470
488;5418.72;2.42;14063;5875
489;8767.8;6.04;15277;7180
490;3037.45;6.08;16555;9070
491;8610.04;6.47;11371;3719
492;9483.64;0.72;13619;869
493;8144.23;5.88;12206;1010
494;5250.96;7.30;2884;4826
495;5926.32;8.40;3906;6914
496;9174.96;7.00;466;3843
497;9213.9;5.53;2663;6052
498;2666.57;1.81;11570;8815
499;1545.61;6.76;11937;7195
500;5399.56;9.75;16957;6867
501;5531.03;1.86;1913;10188
502;8694.93;4.74;4809;8312
503;10177.28;1.66;19621;7211
504;8709.25;4.09;1994;4769
505;2751.41;9.06;28;10794
506;2370.28;6.31;2422;8508
507;5704.59;9.71;18027;7576
508;7228.75;8.64;6695;2003
509;3432.84;7.38;17421;6051
510;3383.27;0.77;15498;1224
511;237.99;0.46;4574;11175
512;8833.76;0.83;4714;10723
513;11025.96;3.37;10152;8506
514;5866.41;0.92;338;7053
515;8312.37;5.63;14599;3980
516;4200.97;8.51;8402;9467
517;11155.85;1.11;6483;3287
518;5828.13;3.41;18138;4629
519;612.49;8.95;11584;4842
520;2851.45;4.16;9400;8113
521;1457.87;6.31;17353;5746
522;5310.18;6.34;15135;8284
523;318.34;2.70;17400;2027
524;4242.09;9.80;19075;10758
525;6648.54;2.59;13921;3185
526;5287.32;4.30;16186;2057
527;2492.39;7.30;16153;10875
528;5134.5;7.04;15182;3180
529;10656.87;6.07;2855;524
530;6910.08;8.64;19118;10656
531;2597.86;1.76;10643;2396
532;1056.33;3.60;14567;3928
533;3823.54;6.58;19122;2367
534;6040.15;0.76;17073;86
535;10127.04;5.47;14478;10318
536;224.38;3.27;7014;1286
537;10824.62;9.72;12789;4759
538;10872.52;9.92;16969;10373
539;2212.44;2.64;19164;10901
540;11260.6;1.37;3771;8912
541;9387.61;5.36;244;5511
542;11984.78;7.38;10859;8168
543;21.32;8.53;19155;2936
544;8335.96;1.19;4479;1230
545;2710.23;5.23;17217;9493
546;7028.03;3.81;18398;6147
547;10847.18;5.03;7964;7872
548;9709.45;1.61;13881;6967
549;3268.46;2.61;8179;641
550;7119.8;2.55;7236;1369
551;4748.38;5.66;14426;2759
552;97.41;6.72;248;11220
553;10252.02;8.05;18967;337
554;3857.87;6.67;10627;544
555;11524.53;1.89;7980;3189
556;9481.67;8.37;15213;6776
557;11571.73;2.49;14270;3665
558;10394.37;6.16;3626;11642
559;385.07;7.35;16510;10261
560;8948.62;7.43;3325;8014
561;464.06;4.48;8123;6875
562;9637.3;1.26;2855;4251
563;112.07;4.35;5927;2458
564;1523.18;7.40;10550;10946
565;2309.75;0.93;16013;8206
566;5670.5;1.72;13875;1405
567;5799.25;8.82;8555;6440
568;905.82;1.54;19202;2342
569;1767.22;9.14;7386;4376
570;10830.7;9.73;1343;7415
571;5997.77;8.08;15032;3699
572;6636.48;2.29;11264;7097
573;1728.03;1.88;1751;5405
574;4555.56;5.15;17835;9471
575;9262.55;1.41;13721;8494
576;2978.53;8.14;4690;8725
577;10029.56;0.42;6917;2104
578;8741.22;7.95;19418;949
579;2738.17;5.21;13998;8379
580;11812.05;1.72;12312;3911
581;2213.64;5.70;17584;10568
582;8142.05;0.55;19846;2411
583;856.73;7.52;18250;8218
584;4988.35;8.85;3515;10968
585;837.36;5.20;11148;4357
586;7037.16;4.21;17304;6526
587;319.88;4.49;6416;3159
588;6777.81;3.84;13799;1106
589;2754.24;3.66;9113;10790
590;9936.54;5.58;5484;643
591;5031.75;3.11;6485;9326
592;5924.19;4.36;8356;1227
593;11672.62;2.26;670;10353
594;8682.01;4.88;18473;41
595;1069.6;5.15;6045;4623
596;3086.04;1.18;14968;5974
597;178.84;3.74;19937;7712
598;2418.95;3.62;18744;1915
599;11424.22;1.38;16164;11646
600;3057.25;1.31;17853;11276
601;3584.52;2.74;2966;1766
602;9531.33;8.22;10688;11249
603;9671.34;4.10;16894;9260
604;10003.57;9.41;2078;8611
605;1677.29;8.99;14558;2405
606;11670.01;7.76;16743;4702
607;5028.69;1.49;3074;5675
608;9656.48;3.02;7831;10991
609;7973.33;4.46;15243;3066
610;4889.2;5.75;10748;10959
611;7315.99;6.37;12957;289
612;7403.27;3.62;6175;1155
613;10327.68;8.87;6305;2660
614;7087.57;7.26;6772;5799
615;902.29;9.62;11099;5484
616;6586.67;8.05;9296;6751
617;10977.02;0.51;3206;2342
618;3666.43;3.61;19955;7826
619;5934.77;3.93;10985;3138
620;2350.55;9.72;52;10200
621;3940.71;0.96;17346;9236
622;94.43;9.51;2648;3860
623;6019.47;2.81;10788;9281
624;8578.62;9.17;18250;10315
625;2566.52;6.79;15933;11804
626;6679.64;4.78;2737;1985
627;6226.29;3.48;11190;2328
628;3621.08;2.18;7924;8665
629;5156.01;9.17;15726;4026
630;8069.86;0.18;8144;4668
631;1700.59;4.69;17445;9408
632;6687.75;5.57;1769;127
633;1196.6;1.29;17863;7487
634;10163.35;4.99;6717;6335
635;8827.22;6.96;9800;11117
636;6616.93;5.71;2031;6560
637;9716.48;9.49;433;8641
638;3717.22;4.78;6871;11048
639;6260.81;2.15;19283;2257
640;1162.57;4.26;2246;9950
641;11191.21;9.70;17645;816
642;10604.95;1.93;4118;1203
643;5132.08;3.36;13873;5630
644;3487.22;4.01;2364;8379
645;7207.7;1.42;8719;991
646;878.27;3.61;6716;9502
647;11405.1;7.84;19190;3549
648;5757.87;9.65;19313;9054
649;4334.47;1.23;15383;9551
650;2370.23;5.02;5640;2309
651;4144.2;0.38;12432;7114
652;466.55;6.11;11904;2755
653;582.86;1.14;352;1151
654;2104.07;8.11;17088;11090
655;5630.09;2.33;17506;762
656;1070.53;9.35;16608;171
657;6425.1;6.49;11113;4944
658;579.45;7.39;18290;2690
659;11573.57;4.58;11261;9338
660;2609.9;0.51;5258;5430
661;2382.69;3.75;7827;5174
662;3701.84;3.54;14711;6567
663;10895.63;9.59;1023;5519
664;7385.25;1.40;12491;5253
665;1127.79;8.43;5456;7965
666;2226.96;7.70;8669;1685
667;4207.75;1.18;5795;6534
668;9648.46;0.23;7629;11279
669;1972.37;6.60;17736;3785
670;9389.63;1.91;11341;9580
671;10430.67;4.32;9632;7085
672;1468.54;2.66;15076;8421
673;907.05;5.73;8064;7984
674;7992.08;1.13;11494;501
675;7199.86;2.67;17821;132
676;8566.68;1.45;3997;9184
677;11688.4;5.23;2227;3503
678;9315.75;4.16;15505;9824
679;3947.4;8.11;13004;10126
680;3453.69;9.16;16541;2960
681;9383.96;1.37;10572;593
682;9450.43;7.47;8027;11748
683;10489.93;4.75;14422;599
684;6113.65;7.29;14799;7821
685;8734.58;1.77;6812;10790
686;4161.45;7.57;14924;11354
687;7388.95;5.49;11066;9114
688;6494.4;9.58;6576;9933
689;5888.12;2.32;18927;8979
690;11108.37;0.22;4040;2553
691;6207.13;6.51;16612;755
692;9768.76;7.72;17714;5113
693;8828.83;9.58;3970;6157
694;8220.66;5.80;18089;11461
695;7491.24;9.74;19125;3350
696;4132.81;1.66;15956;10744
697;11696.47;1.85;15910;967
698;2957.26;6.10;4955;1428
699;3082.66;4.81;15483;219
700;9497.09;5.28;8958;11167
701;2145.62;2.68;7903;4129
702;1405.61;5.34;13077;2875
703;4305.29;8.52;19714;7855
704;4707.38;3.73;19433;5298
705;3503.69;3.27;19240;6137
706;9274.6;6.60;19226;8420
707;4109.01;8.53;1193;5065
708;9952.32;5.99;15117;11601
709;10759.0;6.72;5219;8196
710;11217.15;0.08;7033;10294
711;363.38;8.79;18166;7335
712;1568.85;4.23;1376;1797
713;4849.98;1.14;12865;6055
714;962.98;9.94;17812;1087
715;1806.8;3.19;405;1435
716;434.95;2.01;2582;1627
717;7338.03;4.42;14226;737
718;10379.89;6.52;18585;592
719;5170.16;4.19;1864;7168
720;4012.3;6.87;10165;140
721;10210.59;2.76;11007;11474
722;649.58;4.86;5751;2453
723;829.78;2.83;10520;6560
724;9535.39;8.23;17509;9887
725;10772.04;0.88;11973;11497
726;10171.42;8.90;2;539
727;9693.72;8.67;1447;7334
728;3612.55;8.37;5594;5706
729;104.9;5.58;9248;5720
730;3198.73;3.47;8393;131
731;9250.61;3.95;13095;6117
732;11766.1;4.06;216;5569
733;3398.58;2.71;18038;1158
734;7857.91;6.42;12290;6721
735;11824.69;8.96;16323;2089
736;1686.75;1.82;6264;4305
737;2457.24;7.47;11635;8820
738;10507.66;5.01;4403;1597
739;8110.26;1.73;2171;8993
740;1933.61;3.11;19557;1230
741;4684.87;1.18;8062;5461
742;6051.78;9.66;13050;3954
743;3123.56;2.41;12422;215
744;2106.18;6.83;11977;2141
745;6543.45;2.38;2805;3659
746;9168.66;6.14;17043;8418
747;9110.4;1.92;3086;11689
748;8860.05;7.45;15486;1792
749;7911.47;7.28;8987;2217
750;10015.04;7.30;2723;4248
751;2606.73;3.78;10778;7832
752;11107.13;1.01;7874;3692
753;3942.78;7.60;16258;4760
754;2124.05;6.53;14705;8860
755;1704.43;0.11;9603;2896
756;10954.31;8.58;8121;10697
757;2480.42;5.47;13967;1284
758;10449.11;7.28;17253;8073
759;8075.52;8.24;17313;9996
760;4428.57;3.88;7696;7850
761;8271.58;6.31;3556;4847
762;6461.9;5.83;14971;1773
763;4953.38;4.46;7693;10778
764;559.41;7.70;14058;1940
765;6051.14;9.55;1779;3479
766;10648.1;6.85;3050;5080
767;4439.63;2.49;1673;10356
768;10157.54;2.04;17245;11811
769;5049.44;0.17;3076;6796
770;456.22;1.09;19730;3778
771;6556.12;5.95;3288;5727
772;3186.4;7.27;12617;1871
773;6616.03;9.24;17215;11122
774;286.22;9.33;6878;2121
775;6574.73;0.88;17979;9944
776;6710.12;6.61;18320;10429
777;10511.73;5.00;7645;3183
778;4079.2;2.71;18950;4371
779;3227.31;8.28;3418;1798
780;8960.85;0.54;5989;139
781;11450.2;0.65;989;746
782;1921.34;9.11;457;1732
783;3190.47;6.92;18313;8103
784;976.59;8.33;11574;10977
785;4674.11;1.77;1472;4670
786;10271.03;9.17;13324;4847
787;4396.03;9.48;15484;10058
788;11592.9;3.11;17300;5644
789;1278.25;9.98;13127;5462
790;3948.26;3.80;16521;4700
791;6295.38;6.22;3330;3745
792;4809.96;7.59;5181;9896
793;2971.5;5.67;13906;3995
794;4150.22;1.26;6636;10901
795;8672.5;6.63;17415;1423
796;6948.45;9.16;544;9785
797;5440.8;5.31;10493;6891
798;5174.9;5.20;2919;454
799;6872.62;9.71;12734;5555
800;10707.64;8.07;6513;4068
801;1226.55;4.78;12104;3854
802;11865.74;8.31;7450;3530
803;902.61;2.45;2088;2810
804;2096.63;3.03;13552;11859
805;6013.44;5.56;16182;3252
806;3458.82;6.14;11686;1944
807;11094.39;7.75;8123;10194
808;5212.11;1.26;17927;3500
809;725.3;9.38;4332;4865
810;9570.12;2.07;9801;4507
811;9412.76;5.77;6926;4704
812;574.93;5.00;17941;9246
813;6530.78;0.53;13242;9275
814;2245.76;7.75;11639;4608
815;5097.18;1.18;5775;900
816;9504.74;7.27;15657;4937
817;4500.15;2.55;5771;6521
818;5831.29;7.26;462;10064
819;2431.83;1.47;10735;10354
820;1363.67;6.92;15269;195
821;4273.62;3.77;4219;2823
822;2966.07;6.27;17853;725
823;8792.03;5.65;8479;11120
824;2588.2;7.22;18682;5033
825;7404.25;0.32;2676;1290
826;389.65;2.55;12237;7618
827;9777.3;6.55;14344;11703
828;9608.15;2.42;9808;5956
829;5720.91;3.24;869;6031
830;1582.33;4.99;17818;8764
831;3958.0;4.81;7350;6823
832;10517.69;6.61;6474;7128
