id;name;description;price;product_size;image;product_category_id
39;Puff Pastry - Slab;Drainage of Right Lower Extremity Bursa and Ligament, Open Approach;23;L;http://dummyimage.com/212x100.png/5fa2dd/ffffff;8
40;Potato - Sweet;Inspection of Left Hand, Open Approach;23;M;http://dummyimage.com/109x100.png/dddddd/000000;1
41;Chocolate - Dark;Removal of Infusion Device from Lower Artery, Percutaneous Endoscopic Approach;23;S;http://dummyimage.com/140x100.png/5fa2dd/ffffff;9
42;Cumin - Ground;Ultrasonography of Left Subclavian Artery, Intravascular;23;XL;http://dummyimage.com/108x100.png/ff4444/ffffff;5
43;Tamarind Paste;Measurement of Intracranial Pressure, Via Natural or Artificial Opening;23;M;http://dummyimage.com/162x100.png/cc0000/ffffff;6
44;Bread - Multigrain, Loaf;Resection of Left Lacrimal Duct, Via Natural or Artificial Opening;23;XXL;http://dummyimage.com/214x100.png/ff4444/ffffff;8
45;Syrup - Golden, Lyles;Drainage of Right Shoulder Tendon with Drainage Device, Percutaneous Approach;23;XXL;http://dummyimage.com/148x100.png/dddddd/000000;3
46;Yeast - Fresh, Fleischman;Dilation of Coronary Artery, Three Arteries, Bifurcation, with Three Drug-eluting Intraluminal Devices, Open Approach;23;XXL;http://dummyimage.com/108x100.png/ff4444/ffffff;6
47;Tomatoes - Hot House;Extirpation of Matter from Upper Tooth, All, Open Approach;23;L;http://dummyimage.com/147x100.png/5fa2dd/ffffff;1
48;Veal - Inside, Choice;Resection of Pelvis Lymphatic, Open Approach;23;L;http://dummyimage.com/221x100.png/dddddd/000000;3
49;Beef Ground Medium;Restriction of Innominate Artery with Extraluminal Device, Percutaneous Endoscopic Approach;23;XXL;http://dummyimage.com/118x100.png/cc0000/ffffff;3
50;Napkin White - Starched;Bypass Left Common Iliac Artery to Lower Artery, Percutaneous Endoscopic Approach;23;L;http://dummyimage.com/246x100.png/cc0000/ffffff;9
51;Corn Syrup;Alteration of Right Lower Leg, Open Approach;23;M;http://dummyimage.com/127x100.png/ff4444/ffffff;5
52;Versatainer Nc - 9388;Extirpation of Matter from Right Axillary Lymphatic, Percutaneous Approach;23;XL;http://dummyimage.com/131x100.png/ff4444/ffffff;4
53;Wine - Valpolicella Masi;Replacement of Intracranial Vein with Autologous Tissue Substitute, Open Approach;23;XXL;http://dummyimage.com/103x100.png/cc0000/ffffff;6
54;Red Currants;Drainage of Pharynx with Drainage Device, Percutaneous Endoscopic Approach;23;L;http://dummyimage.com/106x100.png/5fa2dd/ffffff;5
55;Cookie Dough - Double;Supplement Right Hip Joint, Acetabular Surface with Resurfacing Device, Open Approach;23;L;http://dummyimage.com/242x100.png/cc0000/ffffff;10
56;Lettuce - California Mix;Removal of Drainage Device from Thoracic Vertebral Disc, Percutaneous Approach;23;S;http://dummyimage.com/188x100.png/cc0000/ffffff;5
57;Banana - Green;Repair Hypoglossal Nerve, Percutaneous Endoscopic Approach;23;M;http://dummyimage.com/207x100.png/dddddd/000000;1
58;Energy Drink Bawls;Transfer Left Lower Arm Subcutaneous Tissue and Fascia, Percutaneous Approach;23;M;http://dummyimage.com/143x100.png/cc0000/ffffff;7
59;Wine - Sawmill Creek Autumn;Resection of Right Ovary, Via Natural or Artificial Opening With Percutaneous Endoscopic Assistance;23;L;http://dummyimage.com/104x100.png/dddddd/000000;6
60;Chocolate - Compound Coating;Excision of Right Pulmonary Artery, Percutaneous Endoscopic Approach;23;L;http://dummyimage.com/114x100.png/dddddd/000000;4
61;Ecolab - Orange Frc, Cleaner;Resection of Left Lobe Liver, Percutaneous Endoscopic Approach;23;XL;http://dummyimage.com/218x100.png/cc0000/ffffff;9
62;Beer - Mcauslan Apricot;Removal of Spacer from Right Metatarsal-Phalangeal Joint, Percutaneous Approach;23;XL;http://dummyimage.com/240x100.png/dddddd/000000;2
63;Salt - Rock, Course;Excision of Right Sphenoid Sinus, Percutaneous Approach, Diagnostic;23;S;http://dummyimage.com/209x100.png/dddddd/000000;3
64;Cookies - Amaretto;Supplement Bladder Neck with Autologous Tissue Substitute, Via Natural or Artificial Opening;23;XL;http://dummyimage.com/216x100.png/cc0000/ffffff;6
65;Star Anise, Whole;Excision of Left Lower Lobe Bronchus, Percutaneous Approach;23;L;http://dummyimage.com/128x100.png/cc0000/ffffff;10
66;Bread - Assorted Rolls;Insertion of Pacemaker Lead into Coronary Vein, Percutaneous Endoscopic Approach;23;L;http://dummyimage.com/193x100.png/5fa2dd/ffffff;10
67;Bread - Raisin Walnut Oval;Bypass Right Internal Iliac Artery to Right Internal Iliac Artery with Autologous Venous Tissue, Percutaneous Endoscopic Approach;23;XXL;http://dummyimage.com/129x100.png/ff4444/ffffff;6
68;Muffin - Banana Nut Individual;Excision of Left Ankle Bursa and Ligament, Open Approach, Diagnostic;23;S;http://dummyimage.com/232x100.png/dddddd/000000;5
69;Mushroom - Morels, Dry;Dilation of Coronary Artery, Three Arteries, Bifurcation, with Four or More Intraluminal Devices, Open Approach;23;XL;http://dummyimage.com/187x100.png/5fa2dd/ffffff;7
70;Bread - Pullman, Sliced;Reposition Splenic Artery, Percutaneous Approach;23;XXL;http://dummyimage.com/163x100.png/ff4444/ffffff;8
71;Cheese - Grie Des Champ;Dilation of Left Anterior Tibial Artery with Drug-eluting Intraluminal Device, Percutaneous Approach;23;S;http://dummyimage.com/177x100.png/cc0000/ffffff;3
72;Green Tea Refresher;Drainage of Left Colic Artery with Drainage Device, Open Approach;23;XL;http://dummyimage.com/203x100.png/ff4444/ffffff;10
73;Pastry - Lemon Danish - Mini;Excision of Right Thumb Phalanx, Percutaneous Approach, Diagnostic;23;M;http://dummyimage.com/235x100.png/ff4444/ffffff;10
74;Onions - Cippolini;Insertion of Ring External Fixation Device into Right Fibula, Percutaneous Approach;23;L;http://dummyimage.com/105x100.png/ff4444/ffffff;4
75;Pepper - Scotch Bonnet;Sensory Awareness/Processing/Integrity Assessment of Neurological System - Upper Back / Upper Extremity using Other Equipment;23;L;http://dummyimage.com/212x100.png/cc0000/ffffff;2
76;Juice - Ocean Spray Kiwi;Bypass Right Common Iliac Artery to Left Internal Iliac Artery with Autologous Venous Tissue, Open Approach;23;M;http://dummyimage.com/135x100.png/5fa2dd/ffffff;2
77;Cabbage - Savoy;Replacement of Right Knee Joint with Synthetic Substitute, Uncemented, Open Approach;23;M;http://dummyimage.com/132x100.png/ff4444/ffffff;3
78;Squid U5 - Thailand;Excision of Esophageal Vein, Percutaneous Approach;23;M;http://dummyimage.com/130x100.png/cc0000/ffffff;6
79;Soap - Hand Soap;Dilation of Right Femoral Artery, Bifurcation, with Intraluminal Device, Open Approach;23;XXL;http://dummyimage.com/211x100.png/5fa2dd/ffffff;10
80;Cheese - Romano, Grated;Alteration of Upper Jaw with Nonautologous Tissue Substitute, Open Approach;23;XL;http://dummyimage.com/168x100.png/ff4444/ffffff;3
81;Pepsi, 355 Ml;Bypass Right Popliteal Artery to Lower Extremity Vein with Autologous Arterial Tissue, Percutaneous Endoscopic Approach;23;XXL;http://dummyimage.com/235x100.png/cc0000/ffffff;3
82;Wine - Cotes Du Rhone Parallele;Magnetic Resonance Imaging (MRI) of Pelvic Arteries;23;S;http://dummyimage.com/246x100.png/5fa2dd/ffffff;8
83;Pepper - White, Whole;Excision of Left Knee Bursa and Ligament, Open Approach;23;XXL;http://dummyimage.com/229x100.png/5fa2dd/ffffff;1
84;Squid - Breaded;Drainage of Thyroid Gland with Drainage Device, Percutaneous Endoscopic Approach;23;M;http://dummyimage.com/119x100.png/dddddd/000000;5
85;Apricots - Halves;Revision of Artificial Sphincter in Urethra, External Approach;23;L;http://dummyimage.com/165x100.png/ff4444/ffffff;5
86;Liners - Baking Cups;Drainage of Right Knee Region with Drainage Device, Percutaneous Approach;23;M;http://dummyimage.com/106x100.png/dddddd/000000;9
87;Savory;Restriction of Right Internal Mammary Lymphatic with Extraluminal Device, Percutaneous Endoscopic Approach;23;L;http://dummyimage.com/214x100.png/dddddd/000000;8
88;Initation Crab Meat;Revision of Stimulator Lead in Upper Muscle, Open Approach;23;M;http://dummyimage.com/154x100.png/ff4444/ffffff;8
89;Beef - Ground Medium;Drainage of Left Palatine Bone, Open Approach;23;S;http://dummyimage.com/129x100.png/dddddd/000000;2
90;Bread - French Stick;Drainage of Right Lacrimal Duct, Percutaneous Approach, Diagnostic;23;XXL;http://dummyimage.com/169x100.png/dddddd/000000;2
91;Wine - Magnotta, Merlot Sr Vqa;Restriction of Abdominal Aorta, Bifurcation, with Extraluminal Device, Open Approach;23;S;http://dummyimage.com/181x100.png/ff4444/ffffff;6
92;Wine - Prosecco Valdobienne;Excision of Chest Subcutaneous Tissue and Fascia, Open Approach;23;L;http://dummyimage.com/200x100.png/dddddd/000000;9
93;Lamb Rack Frenched Australian;Introduction of Other Diagnostic Substance into Mouth and Pharynx, Via Natural or Artificial Opening;23;M;http://dummyimage.com/212x100.png/ff4444/ffffff;1
94;Scrubbie - Scotchbrite Hand Pad;Replacement of Splenic Vein with Nonautologous Tissue Substitute, Open Approach;23;S;http://dummyimage.com/207x100.png/ff4444/ffffff;10
95;Beer - Corona;Dilation of Right Internal Carotid Artery, Bifurcation, with Three Intraluminal Devices, Percutaneous Approach;23;XXL;http://dummyimage.com/127x100.png/cc0000/ffffff;10
96;Alize Sunset;Reposition Portal Vein, Percutaneous Endoscopic Approach;23;L;http://dummyimage.com/210x100.png/dddddd/000000;3
97;Fennel - Seeds;Release Right Metatarsal-Tarsal Joint, External Approach;23;XL;http://dummyimage.com/185x100.png/cc0000/ffffff;3
98;Wine - Champagne Brut Veuve;Drainage of Left Femoral Vein, Open Approach, Diagnostic;23;S;http://dummyimage.com/210x100.png/5fa2dd/ffffff;9
99;Cheese - Wine;Supplement Soft Palate with Nonautologous Tissue Substitute, Open Approach;23;XXL;http://dummyimage.com/168x100.png/5fa2dd/ffffff;3
100;Chick Peas - Dried;Extirpation of Matter from Left Colic Artery, Open Approach;23;S;http://dummyimage.com/164x100.png/5fa2dd/ffffff;1
101;Tea - Apple Green Tea;Restriction of Innominate Artery with Intraluminal Device, Percutaneous Approach;23;XL;http://dummyimage.com/191x100.png/dddddd/000000;9
102;Wine - Rubyport;Drainage of Left Upper Extremity with Drainage Device, Open Approach;23;XL;http://dummyimage.com/167x100.png/cc0000/ffffff;8
103;Celery Root;Excision of Right Parotid Duct, Open Approach, Diagnostic;23;M;http://dummyimage.com/168x100.png/dddddd/000000;5
104;Vermacelli - Sprinkles, Assorted;Supplement Left Clavicle with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach;23;XXL;http://dummyimage.com/130x100.png/cc0000/ffffff;4
105;Chicken - Leg, Fresh;Insertion of Infusion Device into Right Axillary Vein, Percutaneous Approach;23;XXL;http://dummyimage.com/139x100.png/dddddd/000000;7
106;Pork - Sausage Casing;Computerized Tomography (CT Scan) of Bilateral Lungs using High Osmolar Contrast, Unenhanced and Enhanced;23;XL;http://dummyimage.com/222x100.png/cc0000/ffffff;2
107;Artichokes - Knobless, White;Fusion of Cervicothoracic Vertebral Joint with Interbody Fusion Device, Posterior Approach, Posterior Column, Percutaneous Endoscopic Approach;23;L;http://dummyimage.com/142x100.png/5fa2dd/ffffff;4
108;Tamarillo;Release Right Toe Phalanx, Open Approach;23;L;http://dummyimage.com/149x100.png/5fa2dd/ffffff;4
109;Daves Island Stinger;Excision of Right Femoral Shaft, Open Approach;23;M;http://dummyimage.com/127x100.png/dddddd/000000;10
110;Coffee - Decaffeinato Coffee;Excision of Left External Ear, Percutaneous Approach, Diagnostic;23;XXL;http://dummyimage.com/133x100.png/ff4444/ffffff;9
111;Soup - Campbells Chicken;Removal of Internal Fixation Device from Left Glenoid Cavity, Open Approach;23;XXL;http://dummyimage.com/163x100.png/5fa2dd/ffffff;1
112;Nectarines;Removal of Radioactive Element from Left Lung, Percutaneous Endoscopic Approach;23;L;http://dummyimage.com/121x100.png/5fa2dd/ffffff;1
113;Appetizer - Chicken Satay;Removal of Radioactive Element from Genitourinary Tract, Via Natural or Artificial Opening Endoscopic;23;XXL;http://dummyimage.com/193x100.png/ff4444/ffffff;1
114;Veal - Inside;Extirpation of Matter from Right Frontal Bone, Percutaneous Approach;23;M;http://dummyimage.com/245x100.png/5fa2dd/ffffff;2
115;Dried Cranberries;Dilation of Left Cephalic Vein, Open Approach;23;L;http://dummyimage.com/168x100.png/dddddd/000000;8
116;Pepper - Orange;Bypass Left Internal Iliac Artery to Bilateral Femoral Arteries, Open Approach;23;XXL;http://dummyimage.com/163x100.png/ff4444/ffffff;4
117;Mace;Occlusion of Small Intestine with Intraluminal Device, Percutaneous Approach;23;XXL;http://dummyimage.com/103x100.png/cc0000/ffffff;7
118;Onions - Pearl;Revision of Other Device in Head, External Approach;23;XL;http://dummyimage.com/109x100.png/5fa2dd/ffffff;5
119;Soup - Knorr, Chicken Noodle;Supplement Left Upper Lobe Bronchus with Autologous Tissue Substitute, Open Approach;23;S;http://dummyimage.com/134x100.png/5fa2dd/ffffff;3
120;Bar Bran Honey Nut;Introduction of Analgesics, Hypnotics, Sedatives into Lower GI, Via Natural or Artificial Opening;23;XL;http://dummyimage.com/160x100.png/dddddd/000000;9
121;Corn - On The Cob;Release Right Upper Arm Skin, External Approach;23;XL;http://dummyimage.com/243x100.png/ff4444/ffffff;2
122;Wine - Chablis 2003 Champs;Removal of Autologous Tissue Substitute from Coccygeal Joint, Percutaneous Endoscopic Approach;23;XXL;http://dummyimage.com/105x100.png/dddddd/000000;2
123;Fond - Chocolate;Drainage of Right Foot Muscle with Drainage Device, Open Approach;23;S;http://dummyimage.com/232x100.png/dddddd/000000;9
124;Roe - Lump Fish, Black;Drainage of Bilateral Carotid Bodies, Percutaneous Endoscopic Approach;23;XL;http://dummyimage.com/161x100.png/cc0000/ffffff;5
125;Gloves - Goldtouch Disposable;Excision of Tongue, Palate, Pharynx Muscle, Percutaneous Approach, Diagnostic;23;M;http://dummyimage.com/209x100.png/cc0000/ffffff;6
126;Lamb - Whole, Fresh;Dilation of Right Subclavian Artery, Bifurcation, with Four or More Drug-eluting Intraluminal Devices, Percutaneous Approach;23;S;http://dummyimage.com/129x100.png/5fa2dd/ffffff;10
127;Turnip - Wax;Drainage of Right Foot Muscle, Percutaneous Approach;23;XL;http://dummyimage.com/186x100.png/cc0000/ffffff;7
128;Wine - Red, Black Opal Shiraz;Repair Pineal Body, Percutaneous Endoscopic Approach;23;S;http://dummyimage.com/100x100.png/ff4444/ffffff;8
129;Mcguinness - Blue Curacao;Supplement Left Trunk Muscle with Autologous Tissue Substitute, Open Approach;23;XL;http://dummyimage.com/122x100.png/cc0000/ffffff;8
130;Bread - Sour Batard;Stenger Assessment;23;XXL;http://dummyimage.com/211x100.png/dddddd/000000;10
131;Cake - Miini Cheesecake Cherry;Drainage of Left Orbit with Drainage Device, Open Approach;23;XL;http://dummyimage.com/221x100.png/5fa2dd/ffffff;1
132;Savory;Revision of Vascular Access Device in Lower Extremity Subcutaneous Tissue and Fascia, Percutaneous Approach;23;L;http://dummyimage.com/239x100.png/cc0000/ffffff;6
133;Wasabi Powder;Restriction of Thoracic Aorta, Ascending/Arch, Percutaneous Approach;23;XL;http://dummyimage.com/198x100.png/dddddd/000000;5
134;Tea Peppermint;Drainage of Right Upper Leg Tendon, Open Approach;23;M;http://dummyimage.com/207x100.png/cc0000/ffffff;6
135;Juice - Pineapple, 341 Ml;Transfer Accessory Nerve to Vagus Nerve, Percutaneous Endoscopic Approach;23;XL;http://dummyimage.com/153x100.png/ff4444/ffffff;10
136;Wine - White, Ej;Restriction of Right Hepatic Duct with Intraluminal Device, Percutaneous Endoscopic Approach;23;XXL;http://dummyimage.com/172x100.png/5fa2dd/ffffff;4
137;Hagen Daza - Dk Choocolate;Nuclear Medicine, Anatomical Regions, Positron Emission Tomographic (PET) Imaging;23;XL;http://dummyimage.com/172x100.png/cc0000/ffffff;10
138;Compound - Raspberry;Fragmentation in Cystic Duct, Open Approach;23;L;http://dummyimage.com/196x100.png/cc0000/ffffff;4
139;Rolled Oats;Magnetic Resonance Imaging (MRI) of Pelvic Region using Other Contrast;23;S;http://dummyimage.com/172x100.png/cc0000/ffffff;1
140;Longos - Grilled Chicken With;Supplement Thoracic Vertebra with Autologous Tissue Substitute, Percutaneous Endoscopic Approach;23;L;http://dummyimage.com/199x100.png/5fa2dd/ffffff;2
141;Tomatoes - Diced, Canned;Drainage of Left Common Iliac Artery with Drainage Device, Percutaneous Endoscopic Approach;23;S;http://dummyimage.com/177x100.png/ff4444/ffffff;3
142;Pork - Tenderloin, Frozen;Removal of Synthetic Substitute from Brain, Percutaneous Endoscopic Approach;23;XL;http://dummyimage.com/136x100.png/cc0000/ffffff;7
143;Remy Red;Dilation of Right Ulnar Artery, Bifurcation, with Two Drug-eluting Intraluminal Devices, Percutaneous Approach;23;M;http://dummyimage.com/156x100.png/dddddd/000000;9
144;Spinach - Frozen;Revision of Internal Fixation Device in Left Shoulder Joint, External Approach;23;XL;http://dummyimage.com/192x100.png/dddddd/000000;2
145;Yoplait - Strawbrasp Peac;Removal of Extraluminal Device from Fallopian Tube, Percutaneous Approach;23;XL;http://dummyimage.com/148x100.png/ff4444/ffffff;3
146;Wine - White, Ej;Resection of Right Acromioclavicular Joint, Open Approach;23;XXL;http://dummyimage.com/136x100.png/5fa2dd/ffffff;2
147;Blueberries;Dilation of Right Ulnar Artery, Bifurcation, with Four or More Drug-eluting Intraluminal Devices, Open Approach;23;XL;http://dummyimage.com/242x100.png/ff4444/ffffff;9
148;Coffee - Decafenated;Detachment at Left Index Finger, Complete, Open Approach;23;M;http://dummyimage.com/129x100.png/dddddd/000000;8
149;Kiwi;Restriction of Right Femoral Artery with Extraluminal Device, Percutaneous Approach;23;L;http://dummyimage.com/172x100.png/cc0000/ffffff;9
150;Juice - V8, Tomato;Transfer Oculomotor Nerve to Acoustic Nerve, Percutaneous Endoscopic Approach;23;M;http://dummyimage.com/157x100.png/ff4444/ffffff;6
151;Capers - Pickled;Removal of Synthetic Substitute from Right Toe Phalanx, Percutaneous Endoscopic Approach;23;XL;http://dummyimage.com/121x100.png/5fa2dd/ffffff;8
152;Tuna - Loin;Release Right Lower Leg Muscle, External Approach;23;L;http://dummyimage.com/244x100.png/dddddd/000000;2
153;Onions - Spanish;Occlusion of Right Internal Carotid Artery with Bioactive Intraluminal Device, Percutaneous Approach;23;L;http://dummyimage.com/163x100.png/ff4444/ffffff;2
154;Aspic - Light;Dilation of Coronary Artery, One Artery, Bifurcation, Percutaneous Endoscopic Approach;23;S;http://dummyimage.com/235x100.png/dddddd/000000;10
155;Wine - Domaine Boyar Royal;Insertion of Spacer into Left Metatarsal-Phalangeal Joint, Percutaneous Approach;23;XL;http://dummyimage.com/229x100.png/cc0000/ffffff;4
156;Sour Puss Sour Apple;Extirpation of Matter from Coronary Vein, Percutaneous Endoscopic Approach;23;XXL;http://dummyimage.com/131x100.png/cc0000/ffffff;6
157;Olives - Nicoise;Drainage of Left Ulna, Percutaneous Approach, Diagnostic;23;M;http://dummyimage.com/233x100.png/5fa2dd/ffffff;6
158;Split Peas - Green, Dry;Excision of Left Mastoid Sinus, Open Approach;23;M;http://dummyimage.com/229x100.png/5fa2dd/ffffff;2
159;Dikon;Release Right Parietal Bone, Percutaneous Approach;23;XL;http://dummyimage.com/151x100.png/ff4444/ffffff;8
160;Chicken - Soup Base;Dilation of Superior Mesenteric Artery with Two Intraluminal Devices, Percutaneous Endoscopic Approach;23;XL;http://dummyimage.com/102x100.png/dddddd/000000;5
161;Cauliflower;Inspection of Sacrococcygeal Joint, Percutaneous Approach;23;L;http://dummyimage.com/169x100.png/5fa2dd/ffffff;2
162;Icecream Bar - Del Monte;Removal of Drainage Device from Right Metacarpocarpal Joint, Percutaneous Endoscopic Approach;23;M;http://dummyimage.com/130x100.png/cc0000/ffffff;5
163;Bread Foccacia Whole;Control Bleeding in Left Upper Extremity, Percutaneous Approach;23;M;http://dummyimage.com/221x100.png/dddddd/000000;7
164;Compound - Strawberry;Dilation of Upper Esophagus, Via Natural or Artificial Opening;23;XL;http://dummyimage.com/156x100.png/cc0000/ffffff;10
165;Bread - Pita;Release Right Testis, Percutaneous Approach;23;XL;http://dummyimage.com/134x100.png/cc0000/ffffff;1
166;Bagel - Whole White Sesame;Occlusion of Left Foot Vein with Intraluminal Device, Percutaneous Endoscopic Approach;23;XL;http://dummyimage.com/101x100.png/dddddd/000000;8
167;Flour - Strong;Release Olfactory Nerve, Percutaneous Endoscopic Approach;23;L;http://dummyimage.com/225x100.png/dddddd/000000;3
168;Coke - Classic, 355 Ml;Fragmentation in Esophagus, Percutaneous Endoscopic Approach;23;M;http://dummyimage.com/231x100.png/dddddd/000000;6
169;Mace;Revision of Zooplastic Tissue in Mitral Valve, Open Approach;23;XXL;http://dummyimage.com/117x100.png/5fa2dd/ffffff;6
170;Bread - Dark Rye;Removal of Nonautologous Tissue Substitute from Hepatobiliary Duct, Via Natural or Artificial Opening Endoscopic;23;XL;http://dummyimage.com/139x100.png/cc0000/ffffff;9
171;Coconut Milk - Unsweetened;Supplement of Pelvic Region Subcutaneous Tissue and Fascia with Synthetic Substitute, Open Approach;23;S;http://dummyimage.com/110x100.png/dddddd/000000;4
172;Flour - Strong Pizza;Resection of Perineum Muscle, Percutaneous Endoscopic Approach;23;XXL;http://dummyimage.com/134x100.png/dddddd/000000;4
173;Flax Seed;Supplement Left Metatarsal-Phalangeal Joint with Synthetic Substitute, Open Approach;23;XL;http://dummyimage.com/116x100.png/cc0000/ffffff;6
174;Pepperoni Slices;Bypass Right Ventricle to Pulmonary Trunk with Autologous Venous Tissue, Percutaneous Endoscopic Approach;23;M;http://dummyimage.com/192x100.png/dddddd/000000;6
